id;category;title;Заголовок;"Meta keywords";"Meta description";price;"Старая цена";sku;Наличие;"Бесплатная доставка";video;Акция;Новинка;Актуально;"Хит продаж";"Это популярно";url_old;brand
5533;Devik;"Волшебная палатка ""Самолет""";"Волшебная палатка ""Самолет"" цена, купить, отзывы.";"Волшебная палатка ""Самолет"" купить в Днепропетровске, цена, описание, фото. Волшебная палатка ""Самолет"" обзоры, статьи, Babysmile.";"Волшебная палатка ""Самолет"" - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";20;10;;1;0;;0;0;0;0;0;http://bbsmile.com.ua/catalog/igrushki-dlja-detej/musor/devik/flyinghouse;"DEVIK play joy"
5501;TommeeTippee;"6-18 мес";"6-18 мес цена, купить, отзывы.";"6-18 мес купить в Днепропетровске, цена, описание, фото. 6-18 мес обзоры, статьи, Babysmile.";"6-18 мес - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";48;0;43322961;1;0;;0;0;0;0;0;http://bbsmile.com.ua/catalog/igrushki-dlja-detej/musor/sveta/tommeeippee/soothersb;TommeeTippee
6990;Toyhouse;;" цена, купить, отзывы.";" купить в Днепропетровске, цена, описание, фото.  обзоры, статьи, Babysmile.";" - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";0;0;55815;1;0;;0;0;0;0;0;http://bbsmile.com.ua/catalog/igrushki-dlja-detej/musor/toyhouse/cherepashki-nindzja-splinter;Playmates
9773;"Автокресла (Группа 0+)";"BABY-SAFE plus II";"BABY-SAFE plus II цена, купить, отзывы.";"BABY-SAFE plus II купить в Днепропетровске, цена, описание, фото. BABY-SAFE plus II обзоры, статьи, Babysmile.";"BABY-SAFE plus II - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";2280;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/romer-baby-safe-plus;Romer
9784;"Автокресла (Группа 0+)";"BABY-SAFE Sleeper";"BABY-SAFE Sleeper цена, купить, отзывы.";"BABY-SAFE Sleeper купить в Днепропетровске, цена, описание, фото. BABY-SAFE Sleeper обзоры, статьи, Babysmile.";"BABY-SAFE Sleeper - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";3200;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/romer-baby-safe-sleeper;Romer
8287;"Автокресла (Группа 0+)";"Beone Furia Ferrari";"Beone Furia Ferrari цена, купить, отзывы.";"Beone Furia Ferrari купить в Днепропетровске, цена, описание, фото. Beone Furia Ferrari обзоры, статьи, Babysmile.";"Beone Furia Ferrari - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";870;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Avtokreslo_Nania_Beone_Furia_Ferrari;Nania
8311;"Автокресла (Группа 0+)";"Beone Sp Luxe";"Beone Sp Luxe цена, купить, отзывы.";"Beone Sp Luxe купить в Днепропетровске, цена, описание, фото. Beone Sp Luxe обзоры, статьи, Babysmile.";"Beone Sp Luxe - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";560;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/avtokreslo_beone_sp_luxe;Nania
8300;"Автокресла (Группа 0+)";"Beone SP Plus";"Beone SP Plus цена, купить, отзывы.";"Beone SP Plus купить в Днепропетровске, цена, описание, фото. Beone SP Plus обзоры, статьи, Babysmile.";"Beone SP Plus - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";520;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Avtokreslo_Be_One_SP_Plus;Nania
12553;"Автокресла (Группа 0+)";"Bertoni Bodyguard";"Bertoni Bodyguard цена, купить, отзывы.";"Bertoni Bodyguard купить в Днепропетровске, цена, описание, фото. Bertoni Bodyguard обзоры, статьи, Babysmile.";"Bertoni Bodyguard - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";675;0;;1;0;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/avtokreslo-bertoni-bodyguard-12553;Bertoni
12605;"Автокресла (Группа 0+)";"Bertoni Lifesaver";"Bertoni Lifesaver цена, купить, отзывы.";"Bertoni Lifesaver купить в Днепропетровске, цена, описание, фото. Bertoni Lifesaver обзоры, статьи, Babysmile.";"Bertoni Lifesaver - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";569;0;;1;0;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/avtokreslo-bertoni-lifesaver-12605;Bertoni
6793;"Автокресла (Группа 0+)";"Espiro Neo";"Espiro Neo цена, купить, отзывы.";"Espiro Neo купить в Днепропетровске, цена, описание, фото. Espiro Neo обзоры, статьи, Babysmile.";"Espiro Neo - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";825;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Avtokreslo-Espiro-Neo;Espiro
8029;"Автокресла (Группа 0+)";"Huggy Multifix";"Huggy Multifix цена, купить, отзывы.";"Huggy Multifix купить в Днепропетровске, цена, описание, фото. Huggy Multifix обзоры, статьи, Babysmile.";"Huggy Multifix - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1300;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Avtokreslo_Huggy_Multifix;Inglesina
